timestamp_ns,src_ip,src_port,dst_ip,dst_port,proto,pkt_id,predicted_label,infer_latency_us,total_latency_us
612423964369202,10.3.53.85,17751,20.0.0.62,17751,17,1,VOIP,122783.66,128994.748
612424096948257,10.3.58.119,19065,20.0.0.111,19065,17,1,VOIP,120182.489,126402.466
612424228140996,10.3.63.138,20364,20.0.0.178,20364,17,1,VOIP,122259.166,128444.125
612424354526777,10.3.68.130,21636,20.0.0.42,21636,17,1,VOIP,117982.035,124176.253
612424484377070,10.3.73.140,22926,20.0.1.119,22926,17,1,VOIP,121450.899,127619.932
612424617245992,10.3.78.140,24206,20.0.0.245,24206,17,1,VOIP,124481.157,130672.912
612424747134896,10.3.83.147,25493,20.0.0.95,25493,17,1,VOIP,120663.205,127700.728
612424877828604,10.3.88.172,26798,20.0.0.124,26798,17,1,VOIP,121639.582,128294.85
612425008398295,10.3.93.201,28107,20.0.0.33,28107,17,1,VOIP,121920.467,128205.869
612425136167281,10.3.99.3,29445,20.0.1.3,29445,17,1,VOIP,119399.609,125541.125
612425267177263,10.3.104.55,30777,20.0.0.248,30777,17,1,VOIP,122621.772,128798.01
612425401123986,10.3.109.65,32067,20.0.1.173,32067,17,1,VOIP,124841.596,131697.232
612425531940841,10.3.114.123,33405,20.0.0.232,33405,17,1,VOIP,122364.498,128645.326
612425661840874,10.3.119.142,34704,20.0.0.190,34704,17,1,VOIP,121376.826,127572.562
612425792179995,10.3.124.153,35995,20.0.0.78,35995,17,1,VOIP,120514.04,128110.223
612425925976812,10.3.129.149,37271,20.0.0.86,37271,17,1,VOIP,125305.406,131520.328
612426053036029,10.3.134.175,38577,20.0.0.201,38577,17,1,VOIP,118680.397,124793.208
612426181341730,10.3.139.218,39900,20.0.1.195,39900,17,1,VOIP,119957.566,126145.321
612426313583086,10.3.144.247,41209,20.0.1.15,41209,17,1,VOIP,123855.516,130052.568
612426447372311,10.3.150.25,42523,20.0.0.174,42523,17,1,VOIP,124845.43,130993.575
